epoch,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,datetime
0,0.8108807802200317,-0.09311997145414352,0.6812584400177002,0.9725487232208252,0.027451278641819954,0.515263020992279,0.5637210011482239,0.8269034624099731,0.7177613377571106,0.044630017131567,2019-07-04 09:34:24.477958
1,0.765601634979248,-0.08499566465616226,0.6849380731582642,0.9872549176216125,0.012744773179292679,0.6383228898048401,0.6519973278045654,0.8360962271690369,0.6806063055992126,0.02514328621327877,2019-07-04 09:36:26.610732
2,0.7535808682441711,-0.08529111742973328,0.7055009007453918,0.9890004396438599,0.010999868623912334,0.6734091639518738,0.6809377670288086,0.8472504615783691,0.6682897210121155,0.02178051881492138,2019-07-04 09:38:29.569319
3,0.743790328502655,-0.08367692679166794,0.7199265360832214,0.9898921251296997,0.010107937268912792,0.6955544948577881,0.700070858001709,0.8549090027809143,0.6601132154464722,0.020029626786708832,2019-07-04 09:40:32.186361
4,0.7385516166687012,-0.08390247076749802,0.7285911440849304,0.9904080033302307,0.009591755457222462,0.7065005898475647,0.7101815342903137,0.8594995737075806,0.6546491980552673,0.019068066030740738,2019-07-04 09:42:34.506001
5,0.7116077542304993,-0.0869651809334755,0.740623414516449,0.989799439907074,0.010200434364378452,0.6957958936691284,0.7086055278778076,0.8652117252349854,0.6246424317359924,0.019055183976888657,2019-07-04 09:44:37.352345
6,0.48625287413597107,-0.09952139109373093,0.6648051738739014,0.9887980818748474,0.011201844550669193,0.6635772585868835,0.6510797142982483,0.8268012404441833,0.3867318034172058,0.022199613973498344,2019-07-04 09:46:40.762380
7,0.4538946747779846,-0.0961352288722992,0.6427609324455261,0.9923330545425415,0.007667109370231628,0.7256900072097778,0.6719057559967041,0.8175470232963562,0.35775938630104065,0.019450882449746132,2019-07-04 09:48:43.035498
8,0.4438096284866333,-0.09830206632614136,0.6606213450431824,0.9922469258308411,0.007753112353384495,0.7262605428695679,0.682182252407074,0.8264344334602356,0.34550735354423523,0.018842311576008797,2019-07-04 09:50:45.480916
9,0.4425240457057953,-0.1000533178448677,0.6687403917312622,0.9918251633644104,0.008175201714038849,0.7204206585884094,0.6842016577720642,0.8302826285362244,0.3424706757068634,0.018992582336068153,2019-07-04 09:52:48.017840
10,0.4358750581741333,-0.09810493886470795,0.6777368187904358,0.9913762211799622,0.00862378440797329,0.7124611735343933,0.6860501766204834,0.8345568180084229,0.33777016401290894,0.01906662993133068,2019-07-04 09:54:50.203860
11,0.43047237396240234,-0.09673821181058884,0.684201717376709,0.9914311766624451,0.008568953722715378,0.7131286263465881,0.689296543598175,0.8378162384033203,0.3337339162826538,0.0187660064548254,2019-07-04 09:56:53.188512
12,0.42848682403564453,-0.0958804190158844,0.686029314994812,0.9913673996925354,0.008632229641079903,0.7118375301361084,0.6906185150146484,0.8386988043785095,0.33260661363601685,0.01872185617685318,2019-07-04 09:58:55.956859
13,0.4260963499546051,-0.0960085541009903,0.6940236687660217,0.9912447929382324,0.008754689246416092,0.7121454477310181,0.6942484378814697,0.8426343202590942,0.33008790016174316,0.018644604831933975,2019-07-04 10:00:57.784569
14,0.4246261715888977,-0.09681547433137894,0.693397581577301,0.9913576245307922,0.008643087930977345,0.7176955342292786,0.6971529126167297,0.8423774242401123,0.32781079411506653,0.018513979390263557,2019-07-04 10:03:00.160823
15,0.42235031723976135,-0.09667644649744034,0.6994714736938477,0.9910233020782471,0.00897697452455759,0.7115033268928528,0.6976528763771057,0.8452473282814026,0.325673907995224,0.018566004931926727,2019-07-04 10:05:02.870070
16,0.42013266682624817,-0.09551766514778137,0.6955772042274475,0.9909821152687073,0.009017542004585266,0.7088424563407898,0.6937351226806641,0.8432802557945251,0.32461482286453247,0.01880904845893383,2019-07-04 10:07:06.894103
17,0.41308268904685974,-0.09506203234195709,0.697696328163147,0.9908064007759094,0.009193547070026398,0.7074593305587769,0.6943853497505188,0.8442513346672058,0.31802064180374146,0.018908312544226646,2019-07-04 10:09:09.151272
18,0.4142513871192932,-0.09568943083286285,0.700187087059021,0.9907401204109192,0.009259525686502457,0.7066648006439209,0.6953111886978149,0.8454639315605164,0.3185622990131378,0.018867284059524536,2019-07-04 10:11:11.283546
19,0.41029343008995056,-0.09574465453624725,0.7068787217140198,0.9908170700073242,0.009182857349514961,0.706291139125824,0.6990845799446106,0.8488477468490601,0.31454867124557495,0.01844729296863079,2019-07-04 10:13:13.490870
20,0.4098939895629883,-0.09633535146713257,0.7175547480583191,0.9908745288848877,0.00912538357079029,0.7135180234909058,0.7081498503684998,0.8542147278785706,0.3135583996772766,0.018130967393517494,2019-07-04 10:15:15.325286
21,0.4126761555671692,-0.09929367899894714,0.7110302448272705,0.9908674955368042,0.009133080951869488,0.7100350856781006,0.703191876411438,0.8509484529495239,0.31338268518447876,0.018358826637268066,2019-07-04 10:17:17.132928
22,0.4129042327404022,-0.10038654506206512,0.7164313793182373,0.9909090399742126,0.009091281332075596,0.7156934142112732,0.7078949809074402,0.8536694049835205,0.31251776218414307,0.018176080659031868,2019-07-04 10:19:19.425739
23,0.4158652722835541,-0.10369682312011719,0.7159608006477356,0.9910981059074402,0.00890140887349844,0.7187110781669617,0.7083753943443298,0.8535295724868774,0.3121683597564697,0.01794975809752941,2019-07-04 10:21:22.352580
24,0.41739487648010254,-0.10660584270954132,0.7163172364234924,0.991034746170044,0.008965556509792805,0.7204247713088989,0.7105692028999329,0.8536760807037354,0.31078919768333435,0.01800474524497986,2019-07-04 10:23:24.310999
