epoch,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,datetime
0,0.9661810994148254,-0.1304304152727127,0.37813377380371094,0.9564884305000305,0.04351175203919411,0.25880375504493713,0.28727415204048157,0.6673110723495483,0.8357510566711426,0.07301317155361176,2019-07-04 10:42:25.318634
1,0.9331908226013184,-0.12324047833681107,0.3868895471096039,0.9762383103370667,0.02376166358590126,0.3556213974952698,0.3597237169742584,0.6815639138221741,0.8099501132965088,0.04688772186636925,2019-07-04 10:45:17.300907
2,0.9144055247306824,-0.12040379643440247,0.4324547052383423,0.9792208671569824,0.020778879523277283,0.41095852851867676,0.4093988239765167,0.7058379054069519,0.7940014004707336,0.040677737444639206,2019-07-04 10:48:10.083395
3,0.8970047235488892,-0.11580046266317368,0.4657897353172302,0.9808654189109802,0.01913442090153694,0.45082780718803406,0.4463214874267578,0.7233275771141052,0.7812044620513916,0.037258632481098175,2019-07-04 10:51:02.133018
4,0.884255051612854,-0.11275539547204971,0.4919393062591553,0.9817764163017273,0.018223896622657776,0.4745204746723175,0.47094088792800903,0.7368577718734741,0.771499752998352,0.035146698355674744,2019-07-04 10:53:54.514925
5,0.8753809928894043,-0.10914988070726395,0.5074014663696289,0.9832144975662231,0.016785843297839165,0.5006415843963623,0.4924261271953583,0.745307445526123,0.7662308216094971,0.03302698954939842,2019-07-04 10:56:46.437629
6,0.8657472729682922,-0.10775958746671677,0.5275545716285706,0.9837397933006287,0.016260473057627678,0.5194162130355835,0.5119801759719849,0.7556465864181519,0.7579877972602844,0.031694259494543076,2019-07-04 10:59:38.401915
7,0.7422255873680115,-0.11522413045167923,0.4993745982646942,0.9845815896987915,0.015418467111885548,0.5187920928001404,0.4953923225402832,0.7419783473014832,0.6270009279251099,0.03154154494404793,2019-07-04 11:02:30.553231
8,0.6159201860427856,-0.11358777433633804,0.43980297446250916,0.986815869808197,0.013183975592255592,0.5197336077690125,0.46203669905662537,0.7133094668388367,0.5023326873779297,0.031199797987937927,2019-07-04 11:05:22.532518
9,0.5907410383224487,-0.11325974017381668,0.46377047896385193,0.9859755635261536,0.01402448583394289,0.5161160230636597,0.4759933054447174,0.7248733639717102,0.47748106718063354,0.031114477664232254,2019-07-04 11:08:14.780723
