epoch,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,datetime
0,0.7141185998916626,-0.07696585357189178,0.7536274194717407,0.9797844886779785,0.02021537907421589,0.6307241320610046,0.6633265018463135,0.8667060732841492,0.637152910232544,0.03474440798163414,2019-07-03 10:22:14.062835
1,0.6743518114089966,-0.0709148645401001,0.7705783247947693,0.991757333278656,0.008242649957537651,0.7439706921577454,0.74834805727005,0.8811678886413574,0.6034367084503174,0.017289362847805023,2019-07-03 10:24:16.425563
2,0.6706180572509766,-0.07333630323410034,0.7845797538757324,0.992533802986145,0.007466149050742388,0.762881875038147,0.7652750015258789,0.8885565400123596,0.597281813621521,0.015527441166341305,2019-07-03 10:26:19.827643
3,0.6602659821510315,-0.07554652541875839,0.7974505424499512,0.9924778342247009,0.007522464729845524,0.7644736170768738,0.7729211449623108,0.8949643969535828,0.5847193598747253,0.015035099349915981,2019-07-03 10:28:21.988520
4,0.4396231770515442,-0.0763196051120758,0.7694350481033325,0.9920265674591064,0.007973996922373772,0.7444027662277222,0.7457882165908813,0.8807302713394165,0.36330360174179077,0.015902573242783546,2019-07-03 10:30:24.567399
5,0.38874533772468567,-0.08015192300081253,0.7427138090133667,0.9939454197883606,0.006054642144590616,0.7820301651954651,0.7515761852264404,0.8683295845985413,0.30859339237213135,0.01470453105866909,2019-07-03 10:32:27.711944
6,0.37994247674942017,-0.08311951905488968,0.7525025606155396,0.993689775466919,0.006310149561613798,0.7799333333969116,0.7564452886581421,0.873096227645874,0.2968229651451111,0.014585323631763458,2019-07-03 10:34:30.185650
7,0.37365734577178955,-0.08302978426218033,0.7505123019218445,0.9937489628791809,0.006251348182559013,0.7819391489028931,0.7561395168304443,0.8721306324005127,0.29062753915786743,0.014541389420628548,2019-07-03 10:36:32.516985
8,0.3706086277961731,-0.08257973939180374,0.7588953375816345,0.9936641454696655,0.006335771176964045,0.7804065346717834,0.7605805993080139,0.8762800693511963,0.2880289852619171,0.01433571707457304,2019-07-03 10:38:36.116054
9,0.3661472499370575,-0.08329834789037704,0.7637707591056824,0.9936381578445435,0.006361644249409437,0.7839866876602173,0.7647325396537781,0.8787041306495667,0.28284889459609985,0.014183823019266129,2019-07-03 10:40:39.087367
10,0.3639742434024811,-0.08605311065912247,0.763706386089325,0.993855893611908,0.006143506150692701,0.7890336513519287,0.7675178050994873,0.8787819743156433,0.27792105078697205,0.013934803195297718,2019-07-03 10:42:41.602898
11,0.3623870313167572,-0.08515050262212753,0.771415114402771,0.9936532378196716,0.006346685811877251,0.7841238975524902,0.7697011232376099,0.8825344443321228,0.2772364020347595,0.013787642121315002,2019-07-03 10:44:44.654842
12,0.3581119477748871,-0.08682820200920105,0.7737672924995422,0.9936823844909668,0.006317578721791506,0.7868465185165405,0.7717732191085815,0.883724570274353,0.27128347754478455,0.013758603483438492,2019-07-03 10:46:47.280213
13,0.35968321561813354,-0.08792091906070709,0.7720593810081482,0.9938986897468567,0.006101095583289862,0.792660653591156,0.7737935185432434,0.8829787969589233,0.2717624008655548,0.013513104990124702,2019-07-03 10:48:49.776619
14,0.35831427574157715,-0.08974611759185791,0.7728223204612732,0.9938344955444336,0.006165517959743738,0.7925766110420227,0.7741053104400635,0.8833285570144653,0.2685679495334625,0.01355345081537962,2019-07-03 10:50:51.595223
15,0.3562597334384918,-0.0894954651594162,0.779388964176178,0.9936916828155518,0.006308278534561396,0.790314793586731,0.7762345671653748,0.8865401744842529,0.266764372587204,0.01344183087348938,2019-07-03 10:52:54.085927
16,0.35606303811073303,-0.09084460139274597,0.786176860332489,0.9935978055000305,0.006402149796485901,0.7880241274833679,0.7785931825637817,0.8898875713348389,0.2652183473110199,0.013435917906463146,2019-07-03 10:54:56.104511
17,0.3571968674659729,-0.09275499731302261,0.7853171825408936,0.9937184453010559,0.006280665751546621,0.7910765409469604,0.7797965407371521,0.889518141746521,0.26444193720817566,0.013278968632221222,2019-07-03 10:56:58.309722
18,0.3603474199771881,-0.09373408555984497,0.7774568200111389,0.9937531352043152,0.006246824283152819,0.7905533909797668,0.7750942707061768,0.885604977607727,0.26661327481269836,0.01349254697561264,2019-07-03 10:59:00.375481
19,0.3567386865615845,-0.09434641152620316,0.7926046848297119,0.9934629797935486,0.006536980625241995,0.785366952419281,0.7815492749214172,0.8930333256721497,0.26239222288131714,0.013279411010444164,2019-07-03 11:01:02.755630
20,0.3580392897129059,-0.09761098027229309,0.7838940620422363,0.9938401579856873,0.0061595565639436245,0.7948450446128845,0.7804145812988281,0.8888670802116394,0.26042822003364563,0.013271505944430828,2019-07-03 11:03:04.762854
21,0.3583831191062927,-0.09854207932949066,0.7877933979034424,0.9937438368797302,0.006256487686187029,0.7938759326934814,0.7825378179550171,0.8907681703567505,0.2598409950733185,0.013144904747605324,2019-07-03 11:05:07.287703
22,0.3574553430080414,-0.09998926520347595,0.7934911251068115,0.993771493434906,0.006228610407561064,0.7941225171089172,0.7859529256820679,0.8936310410499573,0.25746625661849976,0.01294761337339878,2019-07-03 11:07:10.225188
23,0.36013510823249817,-0.10265091061592102,0.7843843102455139,0.9939665198326111,0.006033529061824083,0.7974673509597778,0.7820777893066406,0.889175534248352,0.25748416781425476,0.013015873730182648,2019-07-03 11:09:12.171788
24,0.35810598731040955,-0.10358551889657974,0.792776882648468,0.9938730597496033,0.006126812659204006,0.7987422943115234,0.787209689617157,0.8933247327804565,0.25452056527137756,0.012992072850465775,2019-07-03 11:11:14.145995
